CSV,Energy Type,Energy Sub Type,Direction,RLDC,SLDC Code,Fuel Type,ENT %AGE,DC %AGE
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AlfanarWind_SECI_III,ALFANR_I,Wind,50,
Entitlement_Matrix.csv,ENT,,,ANTA_CRF,ANTA_CRF,Gas,0,
Entitlement_Matrix.csv,ENT,,,ANTA_GF,ANTA_GF,Gas,0,
Entitlement_Matrix.csv,ENT,,,ANTA_LF,ANTA_LF,Gas,0,
Entitlement_Matrix.csv,ENT,,,ANTA_RF,ANTA_RF,Gas,0,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AP41PL_BHDL,AP41PL_BHDL,Solar,100,
Entitlement_Matrix.csv,ENT,,,AURY_CRF,AURY_CRF,Gas,0,
Entitlement_Matrix.csv,ENT,,,AURY_GF,AURY_GF,Gas,0,
Entitlement_Matrix.csv,ENT,,,AURY_LF,AURY_LF,Gas,0,
Entitlement_Matrix.csv,ENT,,,AURY_RF,AURY_RF,Gas,0,
Entitlement_Matrix.csv,ENT,,,BSIUL,BSIUL,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,CHAMERA1,CHAMERA1,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,CHAMERA2,CHAMERA2,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,CHAMERA3,CHAMERA3,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,DADRI_CRF,DADR_CRF,Gas,0,
Entitlement_Matrix.csv,ENT,,,DADRI_GF,DADRI_GF,Gas,0,
Entitlement_Matrix.csv,ENT,,,DADRI_LF,DADRI_LF,Gas,0,
Entitlement_Matrix.csv,ENT,,,DADRI_RF,DADRI_RF,Gas,0,
Entitlement_Matrix.csv,ENT,,,DADRT2,DADRI_T2,Coal,24,
Entitlement_Matrix.csv,ENT,,,DHAULIGNGA,DHAULIGNGA,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,DULHASTI,DULHASTI,Hydro,25.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,ERCPL_FTG2,ERCPL_FTG,Solar,50,
Entitlement_Matrix.csv,ENT,,,FSTPP_I_II,FARAKKA,Coal,25.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_GNA,NA,IMPORT,GBHHPL,GBHHPL,Others ,0,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,Tuticorin_GIREL,GIREL,Wind,0,
Entitlement_Matrix.csv,ENT,,,JHAJJAR,JHAJJAR,Coal,10,
Entitlement_Matrix.csv,ENT,,,KHSTPP_I,KAHLGAN1,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,KHSTPP_II,KAHLGAN2,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,KOLDAM,KOLDAM,Hydro,0,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AHEJ5L_PSS5_KPS1_HW,KPS1_HW_BYPL,Wind,50,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,AHEJ5L_PSS5_KPS1_S,KPS1_S_BYPL,Solar,50,
Entitlement_Matrix.csv,ENT,,,KISHANGANGA,KSHNGNGA,Hydro,0,
Entitlement_Matrix.csv,ENT,,,KOTESHWR,KTWR_HEP,Hydro,0,
Entitlement_Matrix.csv,ENT,,,NAPP,NAPP,Nuclear,0,
Entitlement_Matrix.csv,ENT,,,NJPC,NJPC,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,PARBATI2,PARBATI2,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,PARBATI3,PARBATI3,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,RAMPUR,RAMPUR,Hydro,0,
Entitlement_Matrix.csv,ENT,,,RAPPC,RAPPC,Nuclear,25.4,
Entitlement_Matrix.csv,ENT,,,RAPPD,RAPPD,Nuclear,25.4,
Entitlement_Matrix.csv,ENT,,,RIHAND1,RIHAND1,Coal,0,
Entitlement_Matrix.csv,ENT,,,RIHAND2,RIHAND2,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,RIHAND3,RIHAND3,Coal,40.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,RUMS,RUMS_DMRC,Others ,47,
Entitlement_Matrix.csv,ENT,,,SALAL,SALAL,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,SASAN,SASAN,Coal,79.03,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_GNA,NA,IMPORT,RAJ_SOLAR,SECI_BRPL,Solar,0,
Entitlement_Matrix.csv,ENT,,,SEWA2,SEWA2,Hydro,25.4,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,SITAC_CHUGGER_BHJ2_W,SITAC_BYPL,Wind,100,
Entitlement_Matrix.csv,ENT,,,SINGRAULI_HYDRO,SNG_HYDRO,Hydro,0,
Entitlement_Matrix.csv,ENT,,,SINGRAULI,SNGRAULI,Coal,46.156,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,SRIJAN_MORJAR_BHJ2_W,SRIJAN_M,Wind,0,
Entitlement_Matrix.csv,ENT,,,TALA,TALA,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,TANAKPUR,TANAKPUR,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,TANDA2,TANDA2,Coal,0,
Entitlement_Matrix.csv,ENT,,,TEHRIPSP,TEHRIPSP,Hydro,37.3,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_GNA,NA,EXPORT,TEHRIPSP,TEHRIPSP_P,Hydro,37.3,
Entitlement_Matrix.csv,ENT,,,TEHRI,TH_HPP,Hydro,37.3,
OA_Matrix_ByApproval_With_Export_Import.csv,OA_REMC,OA_GNA,IMPORT,TS1PL_BKN,THAR_BYPL,Solar,100,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR4,UNCHAHAR4,Coal,0,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR1,UNCHHAR1,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR2,UNCHHAR2,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,UNCHAHAR3,UNCHHAR3,Coal,25.4,
Entitlement_Matrix.csv,ENT,,,URI,URI,Hydro,25.4,
Entitlement_Matrix.csv,ENT,,,URI2,URI2,Hydro,25.4,